IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262179, W: -0.3032, X: -0.3465, Y: -0.6101, Z: 0.6448
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262179, W: 0.7542, X: 0.3453, Y: 0.5585, Z: -0.0117
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262179, W: 0.6895, X: 0.0326, Y: 0.6234, Z: -0.3674
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262179, W: 0.7538, X: 0.3101, Y: 0.5661, Z: -0.1234
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262288, W: 0.5837, X: -0.3038, Y: 0.5723, Z: 0.4893
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262288, W: 0.7036, X: -0.2209, Y: 0.5621, Z: 0.3745
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262288, W: -0.5731, X: -0.2975, Y: -0.5458, Z: 0.5340
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262288, W: -0.7161, X: -0.4256, Y: -0.3323, Z: 0.4424
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262288, W: 0.4404, X: -0.2543, Y: 0.6748, Z: 0.5349
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262288, W: 0.6003, X: -0.3920, Y: 0.6161, Z: 0.3261
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262288, W: -0.3048, X: -0.3444, Y: -0.6110, Z: 0.6444
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262288, W: 0.7536, X: 0.3436, Y: 0.5602, Z: -0.0114
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262288, W: 0.6902, X: 0.0272, Y: 0.6275, Z: -0.3594
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262288, W: 0.7629, X: 0.2929, Y: 0.5677, Z: -0.1000
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262399, W: 0.5798, X: -0.3089, Y: 0.5683, Z: 0.4954
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262399, W: 0.7014, X: -0.2262, Y: 0.5580, Z: 0.3813
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262399, W: -0.5798, X: -0.2943, Y: -0.5456, Z: 0.5288
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262399, W: -0.7208, X: -0.4241, Y: -0.3320, Z: 0.4363
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262399, W: 0.4391, X: -0.2554, Y: 0.6743, Z: 0.5360
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262399, W: 0.6000, X: -0.3920, Y: 0.6165, Z: 0.3260
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262399, W: -0.3050, X: -0.3435, Y: -0.6112, Z: 0.6445
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262399, W: 0.7537, X: 0.3430, Y: 0.5605, Z: -0.0112
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262399, W: 0.6940, X: 0.0222, Y: 0.6265, Z: -0.3541
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262399, W: 0.7528, X: 0.2939, Y: 0.5804, Z: -0.1002
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262511, W: 0.5783, X: -0.3119, Y: 0.5640, Z: 0.5002
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262511, W: 0.7005, X: -0.2297, Y: 0.5539, Z: 0.3870
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262511, W: -0.5844, X: -0.2917, Y: -0.5471, Z: 0.5236
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262511, W: -0.7230, X: -0.4230, Y: -0.3358, Z: 0.4308
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262511, W: 0.4370, X: -0.2581, Y: 0.6726, Z: 0.5386
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262511, W: 0.5999, X: -0.3931, Y: 0.6161, Z: 0.3258
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262511, W: -0.3073, X: -0.3412, Y: -0.6121, Z: 0.6439
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262511, W: 0.7536, X: 0.3414, Y: 0.5617, Z: -0.0104
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262511, W: 0.6969, X: 0.0176, Y: 0.6272, Z: -0.3474
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262511, W: 0.7549, X: 0.2902, Y: 0.5804, Z: -0.0953
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262622, W: 0.5762, X: -0.3159, Y: 0.5602, Z: 0.5045
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262622, W: 0.6987, X: -0.2337, Y: 0.5505, Z: 0.3928
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262622, W: -0.5853, X: -0.2905, Y: -0.5498, Z: 0.5204
